negative,एंडराॅयड के मामले में यह थोड़ा पीछे है ।
neutral,यह एस्पेक्ट रेशो का ईश्यू है और हम आशा करते हैं कि यह आने वाले अपडेट में फिक्स कर दिया जाएगा ।
positive,लेकिन इस तरह के एक मॉडल के एक घर कंप्यूटर के लिए एक शानदार विकल्प हो सकता है ।
positive,गिर वन राष्ट्रीय उद्यान बाघ संरक्षित क्षेत्र है जो एशियाई बब्बर शेर के लिए विश्व प्रसिद्ध है ।
neutral,"और हां , इस फिल्म में हर किरदार भारद्वाज को भरद्वाज क्यों बुलाता है ?"
positive,फोन उपयोग में बेहद ही आसान है और टच रिस्पॉरन्स उतना ही बेहतर ।
positive,डिजिफलीप प्रो टेबलेट् अपने वर्ग में सर्वोत्तम है ।
negative,"युवाओं के लिए यह फोन कमजोर रैम के कारण बहुत ज्यादा उपयुक्त नहीं है , मध्यमवर्गीय और 25 साल से अधिक आयु के कामकाजी लोग , गृहिणियां यां स्कूली छात्र चाहें तो इसे अपने पहले मोबाईल फोन के तौर पर आजमा सकते हैं ।"
neutral,पेरिस्कोप के एंड्रॉयड वर्जन में कुछ ऎसे यूनिक फीचर्स भी हैं दिए गए हैं जो आईओएस में नहीं दिए गए थे ।
neutral,वनों की विलक्षण वनस्पति तथा हरे घास के मैदानों के बीच यहां नीलकुरंजी नामक फूल पाया जाता है ।
positive,"इस टेबलेट की कॉल करने की क्षमता अच्छी है , और इसकी आवाज़ की क्वालिटी भी बढ़िया है ।"
positive,इसमें 5.5 इंच का एचडी डिस्पले स्क्रीन अल्ट्रा वाइड व्यूइंग एंगल के साथ दी गई है जिससे पिक्चर्स बेहतर क्वालिटी में दिखती है ।
positive,इस फिल्म में शोनाली की मौजूदगी सोच और समझदारी के स्तर पर है ।
negative,"जैसा कि मैंने पहले कहा था , प्रोसेसर गेम खेलने तथा विडियो को पूरी तरह से सहज चलाने के काबिल नहीं है ।"
neutral,"असम में ब्रह्मपुत्र नदी के किनारे स्थित इस पार्क में गैंडे के साथ - साथ हाथी , चीता , बाघ , हिरण , डॉल्फिन , सांभर आदि देखे जा सकते हैं ।"
positive,फोन में पोलेरिस आफिस एप सहित कई अन्य ऐसे एप्लीकेशन्स हैं जो आपको रोजमर्रा के कामकाज में मददगार साबित होंगे ।
neutral,ये सभी बातें ' एवेंजर्स : एज ऑफ अल्ट्रॉन ' में देखने को मिलती है ।
neutral,फोन में माइक्रो एसडी कार्ड के अलावा दो सिम कार्ड भी डाले जा सकते हैं ।
positive,इसका 13 मेगा पिक्सल कैमरा जो इस डिवाईस का हिरो है ।
negative,इस टेबलेट में फ़्लैश का ना होना भी इसका एक कारण बनता है ।
neutral,"इसके अलावे इसमें आने वाले नोटिफिकेशंस को आप केवल देख सकते हैं , उसका जवाब नहीं दे सकते ।"
neutral,"थोड़े छोटे ज़रूर हैं , लेकिन इतने छोटे नहीं हैं की इनसे कोई परेशानी हो ।"
positive,चारमीनार आंध्र प्रदेश की राजधानी हैदराबाद का सबसे प्रसिद्ध और महत्वपूर्ण स्मारक है ।
positive,कुल मिलाकर टैबलेट देखने में मजबूत लगता है जबकि डिसप्ले के चारों ओर का उभरा हुआ प्लेटफार्म डिसप्ले पर किसी तरह का सक्रैच आने से रोकेगा तथा कुछ हद तक उसकी सुरक्षा भी करेगा ।
positive,अच्छी सेल्फी के साथ - साथ वीडियो कॉलिंग भी की जा सकती है ।
negative,कुल मिलाकर जी3 स्टाइलस का परफॉर्मेंस अच्छा नहीं कहा जा सकता ।
positive,"सबसे अहम् बात ये है की डिज़ाइन और लुक्स के मामले में ये लेनोवो जेड580 से कहीं आगे है , इसे निश्चित रूप से एक बेहतर चुनाव कहा जा सकता है ।"
negative,"इसमें कमी यह है कि इसका स्किन हर किसी को पसंद नहीं आ सकता है , इसका कैमरा साधारण है और यह एंड्रायड 4.1 जेली बीन ऑपरेटिंग सिस्टम पर काम करता है ।"
positive,कश्मीर में पर्यटन को बढ़ावा देने के लिए यह फेस्टिवल बहुत बड़ा योगदान देता है ।
positive,मानसून के मौसम में द वैली ऑफ फ्लावर नेशनल पार्क का परिदृश्य आश्चर्यजनक तरीके से सजीव हो जाता है ।
positive,इसके अलावा इसमें वाय - फाय तथा वन टच तकनीक दी है जिससे इसे स्मार्टफोन अथवा टेबलेट् से कनेक्ट किया जा सकता है ।
neutral,यह टैबलेट एंड्रॉयड 4.4 KitKat के साथ आता है |
negative,मतलब केबल के माध्यम से कंप्यूटर आदि से आप गाने यां क्लिप्स इस पर ट्रांसफर नहीं कर सकते हैं ।
neutral,इसमें इलेक्ट्रोनिक कंट्रोल पैनल भी मौजूद है ।
neutral,एप्पल के नए 15 इंच लैपटॉप में 16 GB इंटरनल मेमोरी के साथ 2.2 GHz का क्वाड कोर इंटेल कोर प्रोसेसर दिया गया है ।
positive,मोटा व भारी होने के बावजूद यह स्मार्टफोन अच्छे लुक्स व बेहतर डिजायन वाला है ।
neutral,"इसके 10.1-इंच डिस्प्ले का रेजोल्यूशन 1920 x 1200 पिक्सेल है , जो इसे 224 पीपीआई का पिक्सेल डेंसिटी देता है ।"
neutral,इन किट के तहत फिल्ममेकर और एनिमेटर अपने - अपने हिसाब से फोटो और मूवी में एडिटिंग कर सकत हैं ।
neutral,"यहां इनवेन्ट इट , बिल्ड इट , क्रिएट इट , लिव इट , डिस्कवर इट , एक्सप्लोर इट , स्प्लैश इट जैसे अलग - अलग प्ले एरियाज हैं ।"
negative,लंबा और घुमावदार हस्ताक्षर करने वालों के लिए भी यहां अपना हस्ताक्षर ड्रॉ करना परेशानी भरा हो सकता है ।
neutral,हिमाचल प्रदेश के प्रसिद्ध पर्यटन स्थलों में से एक इस दर्रे को लाहोल और स्पीति जिलों का प्रवेश द्वार कहा जाता है ।
positive,फिल्म की भावभूमि उनके लिए नई और अपरिचित है ।
positive,चारमीनार अपनी भव्य सुंदरता के कारण बड़ी संख्या में पर्यटकों को अपनी ओर खींचता है ।
positive,गैलेक्सी नोट 800 का लॉक स्क्रीन सिंपल और अच्छा है ।
neutral,' हैदर ' की खोज है नरेंद्र झा ।
neutral,"इसके अन्दर लगी 3120 एमएएच की बैटरी , पूरे डेढ़ दिन तक चलती है ।"
positive,"बैद्यनाथ धाम , बाबा धाम और कई अन्य नामों से जाना जाने वाला झारखंड जिला का शहर देवघर पवित्र हिंदू तीर्थो में से एक है ।"
positive,प्लास्टिक से बना इसका बैक पैनल दिखने में काफी प्रीमियम लगता है और याद दिलाता है सैमसंग के Galaxy Note 4 की ।
neutral,"कनेक्टिवीटि के 3जी , सिम , वाइ - फाइ , ब्लू टूथ आदि कई विकल्प हैं ।"
positive,यह इसी खूबी के चलते इसे फेबलेट के रूप में भी काम में लिया जा सकता है ।
positive,आपको यहा आने के बाद जाने का बिलकुल ही मन नहीं करेगा ।
neutral,"जेम्स वान , सॉ के डायरेक्टर रहे हैं ।"
neutral,यह आपके आइफोन से सीधे कनेक्ट हो जाएगी ।
neutral,आजादी के बाद यहां पर अरूणाचल प्रदेश के पहले प्रशासनिक केन्द्र की स्थापना की गई थी ।
positive,इसके बेंचमार्क स्कोर्स बहुत ही आशाजनक थे क्योंकि यह स्मार्टफोन प्रतियोगिता को दूर कर देता है ।
neutral,"इसका इंडोर डायमेंशन 470 mm चौड़ाई , 355 mm हाइट और 495 mm गहराई है ।"
neutral,यह फोन सिर्फ एक फोन नहीं है और इसके आकार को देखते हुए यह आसानी से फॅब्लेट कहलाने के लिए पात्र है ।
negative,सबसे पहले तो बैट्री चार्ज होने में बहुत ज्यादा समय लेती है ।
neutral,इसके अधिकांश यूआर्इ अपने पूर्ववर्तियों के समान हैं तथा इसकी हर चीज ठीक से काम करती है ।
neutral,"एन्वी डीवी6 का वज़न 2.4 किलोग्राम है , 15-इंच से बड़े डिस्प्ले वाली मशीन के लिए ये वज़न कुछ ज्यादा नहीं कहा जा सकता ।"
neutral,"इस टैबलेट में सात इंच की स्क्रीन है , और एंड्रायड 4.1 जैली बीन आपरेटिंग सिस्टम है ।"
neutral,1.9 अथवा 1.6 गीगीहर्टज़ का प्रोसेसर है ।
neutral,माइक्रोसॉफ्ट सरफेस 3 में 10.8 इंच की क्लियरटाइप फुल HD प्लस डिस्प्ले स्क्रीन है ।
negative,"जरूर , यह अपनी 1जीबी रैम के कारण अच्छा तो है , लेकिन इसके प्रोसेसर और ग्राफिक्स की कमियों ने इसे बेकार कर दिया है ।"
neutral,आप टेक्स्ट मैसेज को क्विक रिप्लाई भी दे सकते हैं ।
neutral,यह एक ही सिम को सपोर्ट करता है ।
negative,"लेकिन इसमें कमी यह है , कि इसमें सिर्फ 16 जीबी का आतंरिक स्टोरेज दिया गया है ।"
positive,"जेड1 कॉम्पैक्ट की तुलना में , इसमें थोड़ा सुधार हुआ है खास तौर से शॉट लेने के टाइम के मामले में , या कैमरा एप्प खुलने के मामले में ।"
neutral,इन्हें बैजू मंदिर के नाम से जाना जाता है ।
positive,अब 360कैम नाम से छोटा सा लेकिन बहुत ही पावरफुल कैमरा आ चुका है जो पहली नजर में आपका मन मोह सकता है ।
positive,अगर आप इस मौसम में गोवा जाने का प्लान बना रहे हैं तो आप वहां के वाइब्रेंट मानसून फेस्टिवल का भी मजा ले सकते हैं ।
positive,जी3 की तरह एलजी का हाइली कस्टमाइज्ड यूआई जी3 स्टाइलस फैबलेट में प्रयोग किया गया है जो उपयोग में बेहद आसान है ।
neutral,चांदी के दरवाजे वाली इस दरगाह का निर्माण कई चरणों में हुआ जहां संत की मूल कब्र है जो संगमरमर की बनी है ।
